"seqname","source","feature","start","end","score","strand","frame","gene_id","transcript_id","class_code","exon_number","gene_name","nearest_ref","oId","tss_id"
"chr7","Cufflinks","exon",74823615,74824844,".","-",".","XLOC_060492","TCONS_00158988","=",1,"0610006L08Rik","ENSMUST00000206672.1","ENSMUST00000205326.1","TSS100409"
"chr2","Cufflinks","exon",26457673,26457780,".","+",".","XLOC_034063","TCONS_00084711","=",2,"0610009E02Rik","ENSMUST00000133463.1","ENSMUST00000139144.1","TSS54602"
"chr17","Cufflinks","exon",87364332,87369466,".","-",".","XLOC_029436","TCONS_00074119","j",2,"0610012D04Rik","ENSMUST00000159031.1","CUFF.26035.1","TSS47594"
"chr4","Cufflinks","exon",98321398,98321507,".","+",".","XLOC_044576","TCONS_00113546","=",1,"0610025J13Rik","ENSMUST00000131324.1","ENSMUST00000131324.1","TSS72487"
"chr3","Cufflinks","exon",138237601,138237713,".","-",".","XLOC_042943","TCONS_00109693","=",2,"0610031O16Rik","ENSMUST00000185122.7","ENSMUST00000185122.7","TSS70019"
"chr8","Cufflinks","exon",77517056,77518579,".","+",".","XLOC_062720","TCONS_00165748","=",1,"0610038B21Rik","ENSMUST00000184762.1","ENSMUST00000184762.1","TSS104403"
"chr2","Cufflinks","exon",163644850,163645800,".","+",".","XLOC_036249","TCONS_00090400","=",1,"0610039K10Rik","ENSMUST00000184724.1","ENSMUST00000076667.1","TSS58265"
"chr5","Cufflinks","exon",143329247,143329353,".","+",".","XLOC_049653","TCONS_00128661","=",1,"0610040B10Rik","ENSMUST00000160231.1","ENSMUST00000160231.1","TSS81831"
"chr6","Cufflinks","exon",108613949,108613995,".","-",".","XLOC_055518","TCONS_00144622","=",4,"0610040F04Rik","ENSMUST00000137478.3","ENSMUST00000204759.1","TSS91743"
"chr4","Cufflinks","exon",101366990,101367139,".","+",".","XLOC_044655","TCONS_00113707","=",2,"0610043K17Rik","ENSMUST00000123107.7","ENSMUST00000142581.1","TSS72595"
"chr5","Cufflinks","exon",109996119,109996398,".","-",".","XLOC_051058","TCONS_00132644","=",2,"1010001B22Rik","ENSMUST00000181488.1","ENSMUST00000181488.1","TSS84302"
"chr18","Cufflinks","exon",11052475,11052567,".","-",".","XLOC_030792","TCONS_00077118","j",3,"1010001N08Rik","ENSMUST00000180789.1","CUFF.24557.2","TSS49600"
"chr10","Cufflinks","exon",66919928,66920258,".","-",".","XLOC_007651","TCONS_00020445","=",4,"1110002J07Rik","ENSMUST00000181710.1","ENSMUST00000181710.1","TSS12553"
"chr12","Cufflinks","exon",3405310,3406711,".","-",".","XLOC_014205","TCONS_00037894","=",1,"1110002L01Rik","ENSMUST00000168012.2","ENSMUST00000095903.6","TSS23925"
"chr1","Cufflinks","exon",35879845,35879972,".","+",".","XLOC_000461","TCONS_00001157","=",1,"1110002O04Rik","ENSMUST00000194261.1","ENSMUST00000194261.1","TSS671"
"chr5","Cufflinks","exon",65405751,65406367,".","+",".","XLOC_048493","TCONS_00125182","o",1,"1110003F10Rik","ENSMUST00000199441.1","CUFF.40774.1","TSS79699"
"chr5","Cufflinks","exon",115631049,115631816,".","-",".","XLOC_051165","TCONS_00133113","=",1,"1110006O24Rik","ENSMUST00000201728.1","ENSMUST00000201728.1","TSS84550"
"chr16","Cufflinks","exon",90554164,90554886,".","+",".","XLOC_025659","TCONS_00063871","=",1,"1110008E08Rik","ENSMUST00000183621.1","ENSMUST00000183621.1","TSS41129"
"chr3","Cufflinks","exon",4800631,4800757,".","+",".","XLOC_039138","TCONS_00098996","j",4,"1110015O18Rik","ENSMUST00000184429.1","CUFF.32538.2","TSS63584"
"chr2","Cufflinks","exon",167191292,167191415,".","+",".","XLOC_036313","TCONS_00090612","=",3,"1110018N20Rik","ENSMUST00000151217.7","ENSMUST00000151217.7","TSS58402"
"chr6","Cufflinks","exon",13881283,13881381,".","+",".","XLOC_051945","TCONS_00135395","j",2,"1110019D14Rik","ENSMUST00000181225.1","CUFF.41116.10","TSS86085"
"chr17","Cufflinks","exon",84954967,84955308,".","-",".","XLOC_029403","TCONS_00074031","=",1,"1110020A21Rik","ENSMUST00000181147.1","ENSMUST00000181147.1","TSS47547"
"chr15","Cufflinks","exon",81584174,81585028,".","-",".","XLOC_024023","TCONS_00060003","=",1,"1110025M09Rik","ENSMUST00000192082.1","ENSMUST00000192082.1","TSS38583"
"chr11","Cufflinks","exon",87702123,87702261,".","+",".","XLOC_009781","TCONS_00026346","=",1,"1110028F11Rik","ENSMUST00000137077.1","ENSMUST00000142895.1","TSS16312"
"chr8","Cufflinks","exon",106594210,106594820,".","+",".","XLOC_063213","TCONS_00167126","=",3,"1110028F18Rik","ENSMUST00000183365.1","ENSMUST00000183365.1","TSS105211"
"chr7","Cufflinks","exon",29155680,29156920,".","+",".","XLOC_056876","TCONS_00148420","=",1,"1110035H17Rik","ENSMUST00000184073.1","ENSMUST00000184073.1","TSS94025"
"chr9","Cufflinks","exon",64053189,64053294,".","+",".","XLOC_065947","TCONS_00173692","=",2,"1110036E04Rik","ENSMUST00000181151.1","ENSMUST00000181151.1","TSS109460"
"chr17","Cufflinks","exon",34952352,34952448,".","-",".","XLOC_028534","TCONS_00072157","=",4,"1110038B12Rik","ENSMUST00000174464.1","ENSMUST00000174714.7","TSS46199"
"chr13","Cufflinks","exon",33935567,33936097,".","+",".","XLOC_016029","TCONS_00041851","=",1,"1110046J04Rik","ENSMUST00000180906.1","CUFF.12024.1","TSS26606"
"chr5","Cufflinks","exon",20728394,20728892,".","+",".","XLOC_047900","TCONS_00123527","=",1,"1110060G06Rik","ENSMUST00000200372.1","ENSMUST00000200372.1","TSS78619"
"chr2","Cufflinks","exon",167832931,167833646,".","-",".","XLOC_038856","TCONS_00098265","j",4,"1200007C13Rik","ENSMUST00000143649.1","CUFF.34274.1","TSS63132"
"chr16","Cufflinks","exon",21795850,21795975,".","+",".","XLOC_024906","TCONS_00062152","=",2,"1300002E11Rik","ENSMUST00000209728.1","ENSMUST00000209429.1","TSS40008"
"chr4","Cufflinks","exon",155732548,155734627,".","-",".","XLOC_047545","TCONS_00122728","=",1,"1500002C15Rik","ENSMUST00000178987.2","ENSMUST00000197451.1","TSS78031"
"chr7","Cufflinks","exon",132889572,132890078,".","-",".","XLOC_061455","TCONS_00161952","=",1,"1500002F19Rik","ENSMUST00000209767.1","ENSMUST00000180905.2","TSS102261"
"chr3","Cufflinks","exon",88811214,88811369,".","-",".","XLOC_042088","TCONS_00107335","=",2,"1500004A13Rik","ENSMUST00000184014.7","ENSMUST00000183374.7","TSS68511"
"chr3","Cufflinks","exon",127714634,127717027,".","-",".","XLOC_042836","TCONS_00109348","=",1,"1500005C15Rik","ENSMUST00000199867.1","ENSMUST00000199867.1","TSS69822"
"chr7","Cufflinks","exon",75312068,75312178,".","+",".","XLOC_057622","TCONS_00150665","=",2,"1500012K07Rik","ENSMUST00000205989.1","CUFF.46723.1","TSS95323"
"chr19","Cufflinks","exon",20421076,20421263,".","+",".","XLOC_031802","TCONS_00079594","j",2,"1500015L24Rik","ENSMUST00000179640.1","CUFF.26628.1","TSS51186"
"chr19","Cufflinks","exon",36638180,36638419,".","-",".","XLOC_033131","TCONS_00082624","o",1,"1500017E21Rik","ENSMUST00000142067.7","CUFF.31211.3","TSS53185"
"chr10","Cufflinks","exon",89698163,89700866,".","+",".","XLOC_006419","TCONS_00017410","=",3,"1500026H17Rik","ENSMUST00000181598.1","ENSMUST00000181598.1","TSS10663"
"chr5","Cufflinks","exon",24997499,24998168,".","+",".","XLOC_047963","TCONS_00123730","=",2,"1500035N22Rik","ENSMUST00000075081.6","ENSMUST00000075081.6","TSS78741"
"chr16","Cufflinks","exon",95898459,95898713,".","-",".","XLOC_026584","TCONS_00066748","=",4,"1600002D24Rik","ENSMUST00000136744.7","ENSMUST00000136744.7","TSS42830"
"chr7","Cufflinks","exon",110003586,110003715,".","-",".","XLOC_061056","TCONS_00160607","=",2,"1600010M07Rik","ENSMUST00000191157.6","ENSMUST00000185931.6","TSS101444"
"chr3","Cufflinks","exon",30595346,30595757,".","-",".","XLOC_041366","TCONS_00105603","=",1,"1600017P15Rik","ENSMUST00000193960.1","ENSMUST00000083427.1","TSS67375"
"chr16","Cufflinks","exon",35503170,35503413,".","-",".","XLOC_026148","TCONS_00065361","=",1,"1600019K03Rik","ENSMUST00000187829.1","ENSMUST00000187829.1","TSS42035"
"chr6","Cufflinks","exon",86526271,86527974,".","+",".","XLOC_053054","TCONS_00138389","=",1,"1600020E01Rik","ENSMUST00000204068.2","ENSMUST00000180896.7","TSS87845"
"chr5","Cufflinks","exon",45668702,45669708,".","-",".","XLOC_050382","TCONS_00130786","=",1,"1600023N17Rik","ENSMUST00000196242.1","ENSMUST00000196242.1","TSS83138"
"chrX","Cufflinks","exon",56317608,56317746,".","+",".","XLOC_069142","TCONS_00182511","=",1,"1600025M17Rik","ENSMUST00000151426.1","ENSMUST00000151426.1","TSS115006"
"chr8","Cufflinks","exon",61282261,61282416,".","-",".","XLOC_064188","TCONS_00169368","=",3,"1700001D01Rik","ENSMUST00000188654.1","ENSMUST00000188654.1","TSS106700"
"chr18","Cufflinks","exon",17047252,17047568,".","+",".","XLOC_029731","TCONS_00074771","=",6,"1700001G01Rik","ENSMUST00000147119.7","ENSMUST00000153022.7","TSS48020"
"chr14","Cufflinks","exon",66295334,66295586,".","-",".","XLOC_021391","TCONS_00054021","=",1,"1700001G11Rik","ENSMUST00000153646.7","ENSMUST00000153646.7","TSS34546"
"chr1","Cufflinks","exon",33669824,33670712,".","+",".","XLOC_000435","TCONS_00001058","=",1,"1700001G17Rik","ENSMUST00000191779.1","ENSMUST00000191779.1","TSS612"
